WARNING: 7 open meshes remove
     Removed: Starship Fuse
     Removed: LandingGearPod
     Removed: LandingGearPod
     Removed: LandingGearPod
     Removed: LandingGearPod
     Removed: LandingGearPod
     Removed: LandingGearPod
...Mass Properties...
104 Num Comps
103 Total Num Meshes
92232 Total Num Tris

182227.878581             Total Mass
78.331672 0.000015 0.000003       Center of Gravity
2895975.216225 241702346.411173 241702348.020609       Ixx, Iyy, Izz
-124.852664 -0.634722 5391.035022       Ixy, Ixz, Iyz
6884.174232             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Raptor_SL_MidRing-13	1422.026000	118.671654	-2.572098	-1.395282	243.643871	1387.090302	1418.226764	-0.331105	-0.180326	5.882264	2.477397
Raptor_SL_MidRing-13	1422.026000	118.671654	-1.629060	-2.430774	224.384360	1393.292602	1392.764954	0.583747	-0.794102	0.732944	2.477397
Raptor_SL_MidRing-13	1422.026000	118.671654	-0.312824	-2.909406	240.831069	1398.490792	1404.013473	1.789588	-0.099761	0.281480	2.477397
Raptor_SL_MidRing-13	1422.026000	118.671654	1.075077	-2.721527	242.946984	1389.693318	1414.926861	1.820145	0.620817	6.552869	2.477397
Raptor_SL_MidRing-13	1422.026000	118.671654	2.216690	-1.910180	242.892818	1390.128279	1414.437734	-3.252405	0.195059	5.993200	2.477397
Raptor_SL_MidRing-13	1422.026000	118.671654	2.850486	-0.661233	243.400583	1387.273645	1417.800133	0.066635	-0.702037	4.699018	2.477397
Raptor_SL_MidRing-13	1422.026000	118.671654	2.831270	0.739194	243.562205	1388.016233	1417.219168	-0.767379	0.645752	8.580222	2.477397
Raptor_SL_MidRing-13	1422.026000	118.671654	2.163445	1.970281	240.237249	1388.879659	1413.030786	1.003124	0.216858	0.852034	2.477397
Raptor_SL_OuterRing-13	1422.026000	118.671654	4.250000	-0.000000	242.999300	1387.826217	1416.846278	0.226077	0.686899	1.246082	2.477397
Raptor_SL_OuterRing-13	1422.026000	118.671654	3.763188	1.975073	235.578104	1392.013204	1405.238096	0.157937	0.990520	-2.308241	2.477397
