...Mass Properties...
92 Num Comps
92 Total Num Meshes
69360 Total Num Tris

166033.870368             Total Mass
87.597196 0.000755 -0.000682       Center of Gravity
3878738.407976 129827226.976905 130650818.200505       Ixx, Iyy, Izz
-4458.973332 4037.251943 979.799293       Ixy, Ixz, Iyz
4477.771684             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Raptor_SL_InnerRing-6	1444.235842	118.699007	-0.000000	-1.500000	235.074944	1267.544830	1258.531298	0.135075	-0.410130	-0.021278	2.516090
Raptor_SL_InnerRing-6	1444.235842	118.699007	1.299038	-0.750000	243.570289	1258.192425	1276.379048	-0.459993	1.053175	0.465712	2.516090
Raptor_SL_InnerRing-6	1444.235842	118.699007	1.299038	0.750000	243.323214	1258.506659	1275.817740	-0.244684	1.166843	6.117062	2.516090
Raptor_SL_MidRing-13	1444.235842	118.699007	1.000000	2.750000	247.843535	1256.783705	1282.061015	0.516053	0.248412	8.001424	2.516090
Raptor_SL_MidRing-13	1444.235842	118.699007	-0.392533	2.899727	247.030430	1262.832306	1275.199309	0.057999	0.692397	4.023239	2.516090
Raptor_SL_MidRing-13	1444.235842	118.699007	-1.695141	2.385162	227.065920	1259.362406	1258.704698	-0.434350	-0.134295	-1.346297	2.516090
Raptor_SL_MidRing-13	1444.235842	118.699007	-2.609413	1.324185	248.213536	1253.447802	1285.766919	0.251734	0.422360	3.752496	2.516090
Raptor_SL_MidRing-13	1444.235842	118.699007	-2.925900	-0.040147	244.885088	1252.729716	1283.156556	0.223797	-0.282227	1.593762	2.516090
Raptor_SL_MidRing-13	1444.235842	118.699007	-2.572098	-1.395282	248.445608	1253.908331	1285.538462	-0.314522	0.194559	6.461528	2.516090
Raptor_SL_MidRing-13	1444.235842	118.699007	-1.629060	-2.430774	228.722388	1260.530115	1259.193458	0.506298	0.250660	0.886847	2.516090
Raptor_SL_MidRing-13	1444.235842	118.699007	-0.312824	-2.909406	246.159281	1266.404234	1270.756231	1.274377	-0.343111	0.932901	2.516090
Raptor_SL_MidRing-13	1444.235842	118.699007	1.075077	-2.721527	247.536906	1256.803786	1281.734304	0.936733	0.226326	6.773280	2.516090
Raptor_SL_MidRing-13	1444.235842	118.699007	2.216690	-1.910180	247.521244	1256.713900	1281.808528	-1.112323	-0.316258	5.656275	2.516090
Raptor_SL_MidRing-13	1444.235842	118.699007	2.850486	-0.661233	248.577116	1253.908898	1285.669403	0.497145	0.334500	5.071752	2.516090
Raptor_SL_MidRing-13	1444.235842	118.699007	2.831270	0.739194	248.697210	1254.733558	1284.964837	0.049053	0.535171	8.875359	2.516090
Raptor_SL_MidRing-13	1444.235842	118.699007	2.163445	1.970281	245.893276	1255.829141	1281.065319	-0.672048	0.363382	2.559834	2.516090
